post_id,post_title,post_forum,floor,username,user_id,content,likes,time,location,quote
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,1,打不过我们吧,78859599,杰克确实打不过韩国，什么梗？,222,6小时前,辽宁,
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,2,二萌萌的牛宝宝,35814821,LOL滔搏战队的AD选手，杰克辣舞,265,6小时前,上海,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,3,宁大阳光男孩,41695398,是不是英雄联盟的梗,67,6小时前,浙江,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,4,111oi,25236879,jacklove,6,6小时前,四川,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,5,7号新秀永不老,19969723,捷克,4,6小时前,,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,6,迷途小学生,36859695,lol,0,6小时前,广东,回复 @111oi: jacklove
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,7,江宣宏,27156302,滔搏战队选手JKL英雄联盟老被韩国队抽陀螺,25,6小时前,浙江,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,8,虎扑JR1882737421,98573927,lol那边的一个选手Jackylove，所在的战队连续很多次不敌韩国战队了,45,6小时前,广东,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,9,虎扑JR1466640855,106426049,英雄联盟有个玩家叫 Jackeylove，经常输韩国队。,0,6小时前,河南,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,10,呱江,33042571,英雄联盟游戏有个所谓第一AD 碰见韩国队很久没赢过一小分了,0,6小时前,天津,回复 @打不过我们吧: 杰克确实打不过韩国，什么梗？
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,11,sky纤尘,48320289,拯救大兵孙兴憨,4,6小时前,广东,
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,12,梦_也何曾到谢桥,99179874,这也有哥哥，百分百参团的含金量,27,6小时前,山东,回复 @二萌萌的牛宝宝: LOL滔搏战队的AD选手，杰克辣舞
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,13,疯狂维修工,96607974,再也不看捷克街头了,0,6小时前,河北,
639905336,世界杯神评：夏奇拉化身世界杯李谷一；拯救大兵孙兴慜,足球话题区,14,火箭_冬日,33223436,恐韩症了,0,6小时前,北京,回复 @虎扑JR1882737421: lol那边的一个选手Jackylove，所在的战队连续很多次不敌韩国战队了
